Title,Artist,Type,Lyrics,Affiliate,Language
Tittle Way Maker,Artist Sinach,Type public, "You are here, moving in our midst
I worship You I worship You
You are here working in this place
I worship You I worship You
You are here moving in our midst
I worship You I worship You
You are here working in this place
I worship You I worship You
Way maker miracle worker promise keeper
Light in the darkness my God
That is who You are
Way maker miracle worker promise keeper
Light in the darkness my God
That is who You are
You are here touching every heart
I worship You I worship You
You are here healing every heart
I worship You I worship You
You are here turning lives around
I worship You I worship You
You are here mending every heart
I worship You I worship You
Way maker miracle worker promise keeper
Light in the darkness
That is who You are
Way maker miracle worker promise keeper
Light in the darkness my God
That is who You are
You wipe away all tears You mend the broken heart
You're the answer to it all Jesus
You wipe away all tears You mend the broken heart
You're the answer to it all to it all Jesus yeah!
Way maker miracle worker promise keeper
Light in the darkness my God
That is who You are
Way maker miracle worker, promise keeper
Light in the darkness my God
That is who You are
You are here touching every life
I worship You I worship You
You are here meeting every need
I worship You I worship You",Affiliate empty,Type English
Amazing grace,John Newton,public, "1 Amazing grace (how sweet the sound)
that saved a wretch like me!
I once was lost, but now am found,
was blind, but now I see.
2 'Twas grace that taught my heart to fear,
and grace my fears relieved;
how precious did that grace appear
the hour I first believed!
3 Through many dangers, toils and snares
I have already come:
'tis grace has brought me safe thus far,
and grace will lead me home.
4 The Lord has promised good to me,
his word my hope secures;
he will my shield and portion be
as long as life endures.
5 Yes, when this flesh and heart shall fail,
and mortal life shall cease:
I shall possess, within the veil,
a life of joy and peace.
6 The earth shall soon dissolve like snow,
the sun forbear to shine;
but God, who called me here below,
will be forever mine.",Affiliate empty,Language English
Excess Love,Mercy Chinwo,public,"Your love is kind
Your love is patient
You fill my heart
With so much peace and joy
You’re amazing
You make my life feel brand new
You’re amazing
You make my life feel brand new
Jesus you love me too much o
Too much o too much o excess Love o
Jesus you love me too much o
Too much o too much o excess love o
Jesus you love me too much o
Too much o, too much o excess love o
Jesus you love me too much oh oh oh oh
Too much o too much o excess love o
Your love is kind
Your love is patient
You u fill you fill my heart heart yeah eh
With so much peace and joy
You’re amazing amazing
You make my life feel brand new
All your promises are yea yeah eh eh eh eh eh and amen
You’re not a man you never lie
Jesus you love me too much o
Too much o too much o excess love o
Jesus you love me too uh much o
Too much o too much o excess love o
Je e sus you love me too much o o o
Too much o, too much o excess love o o o o
Jesus you love me too uh much o
Too much o too uh much o too uh much o excess love o excess love o
Ha too much o too much o o too much o excess love o ha
Your love for me too much o too much o o too much o excess love o
Too uh uh uh much oh oh oh oh too much o
Jesus you love me o that you gave your life for me too much o o too much o excess love o
What manner of love is this too much o
What manner of love is this that you gave it all for me o God too much o o too much o excess love o
Jesus you love me
Too much o
You love me you love me e e too much o o too much o excess love o
Jesus you love me too much o o too much o hey
Jesus you love me too much o o o too much o o too much o excess love
Who am I that you’re mindful of me yeah eh
Too much o who am I that you gave it all for me hey
Too much o o too much o excess love o
Jesus you love me too much o
Too much too much o too much o too much o excess love o
Hey eh eh Jesus you love me too much o o o
You love me too much o o o o o
Unconditional love you have for me o o
Eloi Eloi lema sabachthani
You said it all for me o o
Thank you for loving me too much o
Unconditionally
Thank you for loving me too much o
Thank you for loving me too much o
Thank you for loving me too much o
You love me too much o",Affiliate empty,Language English
Holy Holy Holy,Reginald Heber,public,
"Holy, holy, holy! Lord God Almighty!
Early in the morning our song shall rise to Thee;
Holy, holy, holy! Merciful and mighty!
God in three Persons, blessed Trinity!
Holy, holy, holy! All the saints adore Thee,
Casting down their golden crowns around the glassy sea;
Cherubim and seraphim falling down before Thee,
Who wert, and art, and evermore shalt be.
Holy, holy, holy! Though the darkness hide Thee,
Though the eye of sinful man Thy glory may not see;
Only Thou art holy; there is none beside Thee,
Perfect in power, in love, and purity.
Holy, holy, holy! Lord God Almighty!
All Thy works shall praise Thy name, in earth, and sky, and sea;
Holy, holy, holy! Merciful and mighty!
God in three Persons, blessed Trinity!",Affiliate empty,Language English
Rock of Ages,Augustus M. Toplady,public,"Rock of Ages, cleft for me,
Let me hide myself in Thee;
Let the water and the blood,
From Thy wounded side which flowed,
Be of sin the double cure,
Save from wrath and make me pure.
Could my tears forever flow,
Could my zeal no languor know,
These for sin could not atone;
Thou must save, and Thou alone:
In my hand no price I bring,
Simply to Thy cross I cling.
While I draw this fleeting breath,
When mine eyes shall close in death,
When I soar to worlds unknown,
See Thee on Thy judgment throne,
Rock of Ages, cleft for me,
Let me hide myself in Thee.",Affiliate empty,Language English
What A Friend We Have in Jesus,Joseph M. Scriven,public,"What a Friend we have in Jesus,
All our sins and griefs to bear!
What a privilege to carry
Everything to God in prayer!
O what peace we often forfeit,
O what needless pain we bear,
All because we do not carry
Everything to God in prayer!
Have we trials and temptations?
Is there trouble anywhere?
We should never be discouraged;
Take it to the Lord in prayer!
Can we find a friend so faithful
Who will all our sorrows share?
Jesus knows our every weakness;
Take it to the Lord in prayer!
Are we weak and heavy laden,
Cumbered with a load of care?
Precious Savior, still our refuge—
Take it to the Lord in prayer!
Do thy friends despise, forsake thee?
Take it to the Lord in prayer!
In His arms He'll take and shield thee;
Thou wilt find a solace there.",Affiliate empty,Language English
Nearer My God To Thee,Sarah Flower Adams,Public,
"Nearer, my God, to Thee,
Nearer to Thee!
Even though it be a cross
That raiseth me;
Still all my song shall be,
Nearer, my God, to Thee,
Nearer, my God, to Thee,
Nearer to Thee!
Though like the wanderer,
The sun gone down,
Darkness be over me,
My rest a stone;
Yet in my dreams I'd be
Nearer, my God, to Thee,
Nearer, my God, to Thee,
Nearer to Thee!
There let the way appear
Steps unto heaven;
All that Thou sendest me,
In mercy given;
Angels to beckon me
Nearer, my God, to Thee,
Nearer, my God, to Thee,
Nearer to Thee!
Then, with my waking thoughts
Bright with Thy praise,
Out of my stony griefs
Bethel I'll raise;
So by my woes to be
Nearer, my God, to Thee,
Nearer, my God, to Thee,
Nearer to Thee!
Or if, on joyful wing,
Cleaving the sky,
Sun, moon, and stars forgot,
Upward I fly,
Still all my song shall be,
Nearer, my God, to Thee,
Nearer, my God, to Thee,
Nearer to Thee!
There in my Father's home,
Safe and at rest,
There in my Savior's love,
Perfectly blest;
Age after age to be
Nearer, my God, to Thee,
Nearer, my God, to Thee,
Nearer to Thee!"
A mighty fortress is our God,Martin Luther,public,"A mighty fortress is our God,
A bulwark never failing;
Our helper He amid the flood
Of mortal ills prevailing.
For still our ancient foe
Doth seek to work us woe;
His craft and power are great,
And armed with cruel hate,
On earth is not his equal.
Did we in our own strength confide,
Our striving would be losing,
Were not the right Man on our side,
The Man of God's own choosing.
Dost ask who that may be?
Christ Jesus, it is He;
Lord Sabaoth His Name,
From age to age the same,
And He must win the battle.
And though this world, with devils filled,
Should threaten to undo us,
We will not fear, for God hath willed
His truth to triumph through us.
The prince of darkness grim,
We tremble not for him;
His rage we can endure,
For lo, his doom is sure,
One little word shall fell him.
That word above all earthly powers,
No thanks to them, abideth;
The Spirit and the gifts are ours
Through Him who with us sideth.
Let goods and kindred go,
This mortal life also;
The body they may kill:
God's truth abideth still,
His kingdom is forever.",Affiliate empty, Language English
All hail the power of Jesus Name,Edward Perronet,public,"All hail the power of Jesus' Name!
Let angels prostrate fall;
Bring forth the royal diadem,
And crown Him Lord of all;
Bring forth the royal diadem,
And crown Him Lord of all.
Ye chosen seed of Israel's race,
Ye ransomed from the fall,
Hail Him who saves you by His grace,
And crown Him Lord of all;
Hail Him who saves you by His grace,
And crown Him Lord of all.
Let every kindred, every tribe,
On this terrestrial ball,
To Him all majesty ascribe,
And crown Him Lord of all;
To Him all majesty ascribe,
And crown Him Lord of all.
O that with yonder sacred throng
We at His feet may fall!
We'll join the everlasting song,
And crown Him Lord of all;
We'll join the everlasting song,
And crown Him Lord of all.",Affiliate empty,Language English
